NAME;RA2000;DE2000;P0;P1;AGE;DIST
J2315+58;348.75;58.0;1.061;;2.86;0
J2354+6155;358.51968;61.92966;0.944783886655;1.626279E-14;3.31;920000.0
J2301+5852;345.28454;58.87901;6.9790709703;4.7123E-13;3.3;235000.0
J2257+5909;344.4906;59.15412;0.368246454342;5.75295E-15;3.0;1010000.0
J2321+6024;350.48006;60.40853;2.256488426824;7.03689E-15;2.7;5080000.0
J2302+6028;345.54667;60.46673;1.20640428819;2.04E-15;6.8;9370000.0
J2326+6141;351.5;61.0;0.79;;1.78;0
J2326+6113;351.74457;61.2268;0.2336519694946;3.525632E-16;4.82;1.05E7
J2337+6151;354.27401;61.85043;0.495369868028;1.934498E-13;0.7;40600.0
J2333+6145;353.33103;61.75836;0.756899382059;1.1761E-15;5.01;1.02E7
J2343+6221;355.75;62.35;1.799;;4.59;0
J2325+6316;351.30553;63.28119;1.436309536149;2.82546E-15;10.86;8050000.0
J2352+65;358.0;65.0;1.164;;7.72;0
J1929+1955;292.32321;19.91886;0.2578319398983;2.5553E-15;12.08;1600000.0
J1932+2020;293.03343;20.34623;0.268217402985;4.21706E-15;5.0;1010000.0
J1929+2121;292.26766;21.3563;0.723598503258;2.1386E-15;3.36;5360000.0
J1936+21;294.12083;21.2;0.642932;;10.11;0
J1938+2213;294.55908;22.22019;0.1661155731566;4.24423E-14;4.54;62000.0
J1935+2154;293.732;21.89672;3.24498;;;0
J1932+2220;293.09476;22.34764;0.14446976514;5.75717E-14;10.9;39800.0
J1922+2110;290.72305;21.17832;1.07792434298;8.1803E-15;4.0;2090000.0
J1927+2234;291.78367;22.58258;1.431066414236;7.71E-16;9.3;2.94E7
J1921+2153;290.43673;21.88396;1.3373021601895;1.348207E-15;0.3;1.57E7
J1940+2246;295.0;22.76667;0.25889;;8.82;0
J1940+2337;295.14786;23.62958;0.546824157964;7.67965E-14;9.87;113000.0
J1946+24;296.5;23.96667;4.729;;4.84;0
J1950+2414;297.68777;24.24916;0.00430477554974;1.89E-20;7.29;3.61E9
J1946+2535;296.70458;25.59764;0.51516705131;5.641E-15;9.58;1450000.0
J1934+2352;293.69246;23.88219;0.17843152366;1.30699E-13;23.98;21600.0
J1939+2449;294.77332;24.71545;0.6453024694;1.8271E-14;7.34;560000.0
J1933+2421;293.40764;24.61101;0.81369030283;8.1098E-15;5.52;1590000.0
J1941+2525;295.33667;25.41814;2.306152697;1.608349E-13;15.35;227000.0
J1937+2544;294.25527;25.73713;0.20098020244218;6.429167E-16;2.76;4950000.0
J1917+2224;289.43428;22.38021;0.425897254225;2.86494E-15;8.04;2360000.0
J1923+2515;290.84372;25.26128;0.00378815551961;9.42E-21;0.99;6.37E9
J1912+2525;288.07761;25.41726;0.62197624506;2.25E-16;2.02;4.38E7
J1920+2650;290.15989;26.844;0.785521849527;3.436E-17;1.46;3.62E8
J1955+2527;298.99748;25.45096;0.00487276586298;9.12E-21;9.06;8.47E9
J1948+2551;297.07325;25.86443;0.1966268136138;9.02244E-15;11.85;345000.0
J1952+2630;298.1535;26.5078;0.02073236056267;4.2721E-18;13.67;7.69E7
J1946+2611;296.69087;26.197;0.4350602546;2.197E-14;7.78;314000.0
J1953+2732;298.2825;27.54672;1.33396499366;1.773E-15;7.86;1.19E7
J1957+2831;299.33082;28.52885;0.3076828651978;3.10989E-15;6.98;1570000.0
J1954+2836;298.57979;28.60167;0.0927090547;2.1163E-14;;69400.0
J1955+2908;298.86615;29.1454;0.00613316651024;2.972E-20;5.39;3.27E9
J1954+2923;298.59397;29.38814;0.4266767865302;1.711E-18;0.42;3.95E9
J1958+2846;299.66696;28.765;0.29038924475;2.12038E-13;;21700.0
J2002+30;300.74167;30.58333;0.421794;;7.43;0
J2006+3102;301.54583;31.03417;0.16369523645;2.4872E-14;5.58;104000.0
J2007+3120;301.78755;31.34765;0.60820531457;1.5604E-14;7.28;618000.0
J2004+3137;301.21786;31.61945;2.11126473382;7.45504E-14;8.0;449000.0
J2002+3217;300.51844;32.28842;0.6967605102;1.05139E-13;6.68;105000.0
J1937+2950;294.44835;29.83383;1.65742878336;3.4811E-15;6.44;7540000.0
J1949+3106;297.37349;31.10106;0.0131381833437;9.3913E-20;7.78;2.22E9
J1952+3252;298.24252;32.87792;0.0395311928548;5.844803E-15;3.0;107000.0
J1900+30;285.075;30.88333;0.602227;;4.56;0
J1931+30;292.86667;30.58333;0.582126;;3.03;0
J1946+3417;296.60472;34.28741;0.00317013922781;3.7E-21;6.41;1.36E10
J1948+3540;297.10419;35.66974;0.717311174076;7.0612E-15;7.87;1610000.0
J2013+3058;303.39272;30.98075;0.276027693446;1.5194E-16;6.88;2.88E7
J2010+3230;302.61042;32.50203;1.4424475206;3.616E-15;18.89;6320000.0
J2011+3331;302.77053;33.52351;0.93173309347;1.7857E-15;12.95;8270000.0
J2009+3326;302.45483;33.43617;1.43836860189;1.468E-15;10.73;1.55E7
J2018+3431;304.72165;34.51681;0.3876640866385;1.83649E-15;8.79;3340000.0
J2028+3332;307.08275;33.53454;0.1767074151138;4.85753E-15;;576000.0
J2021+3651;305.27275;36.85133;0.103740952074;9.57209E-14;1.8;17200.0
J2030+3641;307.50109;36.69087;0.2001285881663;6.5001E-15;11.17;488000.0
J2029+3744;307.34947;37.7356;1.21680465774;1.231961E-14;7.0;1560000.0
J2004+3429;301.19571;34.48825;0.24095264193;2.06825E-13;22.18;18500.0
J2005+3547;301.32289;35.79039;0.615033894871;2.808E-16;30.0;3.47E7
J2005+3552;301.44792;35.87342;0.30794290464;2.99E-15;30.0;1630000.0
J1959+3620;299.90846;36.34142;0.406081181;3.6E-17;29.32;1.79E8
J2022+3842;305.59037;38.70412;0.048578779636;8.61E-14;10.0;8940.0
J2013+3845;303.2932;38.76203;0.2301936138595;8.851045E-15;13.07;412000.0
J2037+3621;309.36434;36.35669;0.61871508419;4.5024E-15;5.05;2180000.0
J2021+4026;305.37496;40.44586;0.26531766093;5.4682E-14;2.15;76900.0
J2032+4127;308.05461;41.45677;0.1432499;1.25E-14;1.7;181000.0
J2030+4415;307.71396;44.26058;0.22707017739;6.4843E-15;;555000.0
J2027+4557;306.81764;45.96586;1.099651368044;3.094E-16;22.99;5.63E7
J2002+4050;300.68346;40.84831;0.9050668203089;1.738783E-15;8.3;8250000.0
J2001+42;300.5;42.71667;0.719161;;3.06;0
J1941+43;295.5;43.38333;0.840887;;5.91;0
J1954+43;298.75;43.83333;1.386961;;12.57;0
J2024+48;306.0;48.0;1.262;;5.62;0
J1957+5033;299.41208;50.555;0.3748062242;7.08E-15;;839000.0
J1955+5059;298.82818;50.99869;0.5189379874091;1.372366E-15;1.8;5990000.0
J1913+3732;288.3662;37.53675;0.851078948902;1.3792E-15;5.5;9780000.0
J1907+4002;286.8944;40.03492;1.235757452781;5.40707E-16;1.76;3.62E7
J1921+42;290.48333;42.41667;0.595201;;3.47;0
J1813+4013;273.30534;40.22751;0.931089084936;2.54871E-15;4.32;5790000.0
J1821+41;275.5;41.75;1.261787;;3.76;0
J1816+4510;274.14973;45.17607;0.00319310355385;4.31E-20;4.2;1.17E9
J1800+50;270.25;50.46667;0.578364;;1.47;0
J1935+52;293.75;52.2;0.568387;;6.84;0
J1922+58;290.5;58.46667;0.529623;;5.38;0
J1815+55;273.75;55.48333;0.426802;;3.87;0
J1840+5640;280.18587;56.68208;1.6528618528869;1.494818E-15;2.61;1.75E7
J1836+5925;279.05697;59.42504;0.173263836028;1.5016E-15;;1830000.0
J2108+4441;317.08534;44.69691;0.4148705368737;8.621E-17;5.28;7.62E7
J2111+4606;317.85054;46.10869;0.157829924735;1.430393E-13;;17500.0
